arm,n_features,auc_full,d_auc_full,auc_strip,d_auc_strip
base,10,0.6785769230769231,,0.6785714285714285,
rem,11,0.6889730769230769,0.01,0.6523809523809523,-0.026
strand,13,0.6723153846153846,-0.006,0.5785714285714285,-0.1
abrasion,11,0.6701269230769231,-0.008,0.6619047619047618,-0.017
ew,11,0.6833,0.005,0.6476190476190475,-0.031
beachline,16,0.6438153846153846,-0.035,0.46904761904761905,-0.21
strand_ifsar_fullcover,13,0.6816807692307691,0.003,,
