ardf_num,site,model_code,comm_main,elev_m,geol_type,type_basis,coarseness_rank,areal,contact_dox,contact_clean,straight,contact_pre
NM275,Moss Gulch,39a,Au,9.173709869384766,alluvial-stream,name:gulch,,4810.47021484375,4808.447265625,22822.1171875,6812.93017578125,4245.365234375
NM276,Laurada Creek,39a,Au,12.737946510314941,alluvial-stream,name:creek,,5361.9609375,5352.32958984375,23428.439453125,7193.931640625,4832.83056640625
NM279,Lillian Creek,39a,Au,45.380245208740234,alluvial-stream,name:creek,2.0,3589.219970703125,3571.57373046875,15321.91796875,4937.6220703125,811.2490234375
NM281,Unnamed (placer mine west of Nome River),39a,Au,104.48094177246094,alluvial-stream,name:river,,0.0,1140.8692626953125,17042.416015625,3011.840087890625,55.90169906616211
NM283,Grouse Gulch,39a,Au,117.78530883789062,alluvial-stream,name:gulch,3.0,977.88037109375,973.8502197265625,20141.2109375,317.0799865722656,1110.18017578125
NM288,Bourbon Creek; Holyoke Creek,39a,Au,28.40194320678711,alluvial-stream,name:creek,,3723.9931640625,3715.12060546875,26030.61328125,3321.307373046875,2759.189208984375
NM295,Specimen Gulch,39a,Au,113.02396392822266,alluvial-stream,name:gulch,2.0,50.0,38.94268035888672,22284.43359375,748.0919189453125,2241.093505859375
NM296,Otter Creek; Florence Gulch,39a,Au,3.086009979248047,alluvial-stream,name:creek,,5724.5087890625,5719.80126953125,26414.744140625,5700.93994140625,
NM297,Peluk Creek,39a,Au,18.22222137451172,alluvial-stream,name:creek,2.0,5579.09033203125,5574.52783203125,27269.810546875,5038.5166015625,
NM300,Irene Creek; Topaz,39a,Au,7.569199085235596,alluvial-stream,name:creek,,6888.07861328125,6879.9404296875,25013.017578125,8372.2158203125,
NM303,Dexter Creek,39a,"Ag, Au",36.63676834106445,alluvial-stream,name:creek,3.0,686.4765014648438,682.59423828125,18753.51171875,1932.2872314453125,301.03985595703125
NM304,Buster Creek,39a,Au,28.66387939453125,alluvial-stream,name:creek,2.0,2685.376953125,2679.5166015625,16355.044921875,4353.939453125,1557.2412109375
NM310,Lower Snake River,39a,Au,5.581391334533691,alluvial-stream,name:river,1.0,5780.625,6084.54345703125,29700.583984375,6479.208984375,5669.3251953125
NM311,Lower Snake River (upstream of the Nome airport),39a,Au,1.2000000476837158,alluvial-stream,name:river,1.0,4455.40380859375,5356.90283203125,30162.0078125,5310.34814453125,4440.720703125
NM312,Nome River (2 miles below Banner Creek),39a,Au,19.660694122314453,alluvial-stream,name:river,1.0,1075.2906494140625,1175.448486328125,16530.6953125,3156.810302734375,1059.48095703125
